user,text,retweet_count,followers_count
Emmy_Concepts,"This keeps coming back. 
We’ll never forget. 
20-10-20🥺💔
#EndSARS #EndSARSMemorial https://t.co/DHH3SYsIaF",1,241
allafrica,"One Year On, No Justice for #EndSARS Crackdown Victims in Nigeria https://t.co/x75mHmcSuY #Nigeria #EndSARSMemorial… https://t.co/MNy2hrGb4Q",3,449827
duisaf,"Has the End SARS movement made any impact at all, what are Nigerian's fate in regards to ELECTIONS &amp; PROTESTS? See… https://t.co/XjlE1K2m2o",2,33818
Rolex7Michael,"24th October, 2021
#EndSARS #KeepitOn #EndSARSMemorial

Good morning Governor @jidesanwoolu, when will this guy be… https://t.co/FXkLB6RRbZ",3,4084
ImhenkuomonS,"Today Manchester United Vs liverpool  can't wait, biggest rivalry game. Who you supporting @SavvyRinu @TundeEddnut @SAMKLEF #EndSARSMemorial",0,3
MahmudYakubu19,"Marijuana growing from someone's grave🤦.....wonder where he hid it before he died🤔.....
#cannabis 
#BlackTwitter… https://t.co/xH7ymsizUN",0,26
Joseph310588,"Free advice: Go everywhere with identification. 

SARS are back out there doing stop and search of pedestrians.

Ye… https://t.co/HEvXTt7qF0",5,164
oluwaloninyo,"I suppose Malami didn’t see the videos.

Funny thing, videos everywhere, from how the protests started, to official… https://t.co/YYCUiBnFca",24,77239
BurbeeMarley,@kvnglegacy2 @2niteFlavour @phynofino You can win this #2KGiveAway as many times as you can! Follow instructions👇… https://t.co/hjyF6f8qSg,0,37
BurbeeMarley,"@TooWondrous_ You can win this #2KGiveAway as many times as you can! Follow instructions👇 

B0B - 2008! 
Out now 🔥… https://t.co/YLvYAZMkTi",0,37
PrernaDixit1243,“It is not the size of a man but the size of his heart that matters #free     #quote #AFazendaa13 #HEESEUNG #BB15… https://t.co/H2a9B6Q8r9,0,1521
PrernaDixit1243,“It is not the size of a man but the size of his heart that matters #free     #quote #AFazendaa13 #HEESEUNG #BB15… https://t.co/L6dWQgxI13,0,1521
PrernaDixit1243,“It is not the size of a man but the size of his heart that matters #free     #quote #AFazendaa13 #HEESEUNG #BB15… https://t.co/4Jpwzw2TAR,0,1521
Wea1th,"As you step out to your place of worship, keep it in mind,the greatest purpose of religion is for humanity to be sa… https://t.co/P1nmGpJ0Yi",0,651
BurbeeMarley,"@zrosey_ You can win this #2KGiveAway as many times as you can! Follow instructions👇 

B0B - 2008! 
Out now 🔥… https://t.co/SHpGO9PDpW",1,37
BurbeeMarley,"@DV_Situations You can win this #2KGiveAway as many times as you can! Follow instructions👇 

B0B - 2008! 
Out now 🔥… https://t.co/O2Bwsl1uWx",1,37
BurbeeMarley,"You can win this #2KGiveAway as many times as you can! Follow instructions👇 

B0B - 2008! 
Out now 🔥… https://t.co/r0cBLlDlGf",1,37
TosinFayanju,"Seems it's been A while, but JESUS IS STILL THE KING 👑

GOTO CHURCH TODAY, (NOT TO MARK ATTENDANCE. GO TO WORSHIP… https://t.co/uROYPsk7l4",1,680
diamondrough079,@Olalekanfaleye_ @HodinakaPhd Sorry comrade it really breaks my heart seeing you in this condition just because we… https://t.co/kueTdnp2oo,0,188
TwittaStatesMAN,"Buhari robbed us of 8yrs of peace, our sanity and wellbeing, security employment, good roads, good education, good… https://t.co/A3ijndSVka",3,35
itz_dannyyo,"I’m back ✝️
.
.
.
.

#vintage #afrobeat #fashionstyle #EndSARSMemorial https://t.co/rkK3DOkgAs",0,17
DiscussionIgbo,@DavidHundeyin Typical of @Oluomoofderby and @Chiora__ with @MoghaluKingsley using #EndSARSMemorial for @MoghaluKingsley Political Campaign,2,126
DiscussionIgbo,Typical of @Oluomoofderby and @Chiora__ with @MoghaluKingsley using #EndSARSMemorial for @MoghaluKingsley Political… https://t.co/m6SHXZWOrq,0,126
itzstopper,Neva knew they got right to vote but denied right to protest. #BreakingNews #DirtyPoliticsAgainstFarmers #EndSARSMemorial,0,132
eMedia_KG,"2023: The Rebirth of A New Nigeria With Governor Yahaya Bello

https://t.co/rT08OgA3Y6

#EndSARSMemorial #EndSARS #BreakingNews #BREAKING",16,477
MahmudYakubu19,Those piple wey dey use 30secs copy assignment wey take 5hrs to do.....even photocopy machine dey learn work… https://t.co/OLJLzEwzwv,2,26
airwaterlandsun,"When life feels like nothing, then you know that perfection is love. Braves Dodgers #BattleATL #ForTheA Shakur… https://t.co/XoVNn29fnu",0,8
TwittaStatesMAN,read our faces. address police violence - address bandits and thugs in uniform. we are angry youths fighting for ou… https://t.co/46wpXiS5N8,1,35
TwittaStatesMAN,"roll back nigeria! We must work together to retire TINUBU. 
#rollbackNigeria #retireTINUBU #EndSARSMemorial… https://t.co/Z61jsOud9T",0,35
BluHouze,"Let this song strengthen you ✊🏾

Artist: @JasenBlu
Song: “My Kontri (feat. Lauda)”

Link: https://t.co/WDYB4PSPSJ… https://t.co/RJ8nSMF0jk",3,247
BluHouze,"Let this song strengthen you ✊🏾

Artist: @JasenBlu
Song: “My Kontri (feat. Lauda)”

Link: https://t.co/WDYB4PSPSJ… https://t.co/PtIY8zqccC",3,247
TwittaStatesMAN,You can't be the leader of the world's largest black nation &amp; Africa's largest democratic country and yet have zero… https://t.co/YkXQlp6ecp,3,35
TwittaStatesMAN,"I don't want to be told I am strong.

I don't want the people that authorized the #LekkiMassacre to think they are… https://t.co/hUiMxk8Psr",0,35
FixmeBot,"""Zaynab (name)"": 118 views/day

 Please help improve it!

 https://t.co/gRGWf81xn1 #EndSARSMemorial https://t.co/Zv0d7GcWdW",0,227
TwittaStatesMAN,Please realize - justice does not exist for those of us who have had our bodies &amp; our rights violated. We will neve… https://t.co/VhQdZwvSqY,1,35
makeweconverse2,"We can not forget those who lost their lives in the fight to #EndPoliceBrutality 
.
.
.
#EndSARS #EndSARSMemorial… https://t.co/FR4QDMC8vY",2,763
Donkelvinsque,"October 24, 2021
Verse of the Day
People may plan all kinds of things, but the LORD's will is going to be done.
Pro… https://t.co/jPQf4dPLng",2,863
oluoma_coconut,"Saw a written on the road, near 3rd mainland bridge - ""Okuzu Massacre""
#EndSARS #EndPoliceBrutality #endsarshelp #EndSARSMemorial",4,195
amb_osita2,How do we have pathologic liers in privileged positions. They can't let Nigeria progress. #EndSARS #EndSARSMemorial https://t.co/6F1b8YVEas,2,93
Bravosn,"Using thugs to disrupt and fight peaceful #EndSARS  is not the problem,the problem is stopping them from destroying… https://t.co/c9GmM40brw",2,208
PillzMrDj,@instablog9ja Wait you mean Na those Lagos State Boys scout do that shit 😡😡😡 .. omo I’m pissed #EndSARSMemorial,0,197
forzuzupetzz,"Lovely Toys For Your Pet 
20% OFF
#dog #hat #doghat #dogdress #doghoodies
#worlds2021, #ariastaylorswift,… https://t.co/hMaSSvAPVi",2,196
ogorchukwuofili,My tribute to our fallen heroes and living warriors...#EndSARSMemorial https://t.co/QgDHw1lT7o,8,374
NiggaB1988,"A lazy man doesn't deserve a hardworking woman.
Iron sharpen Iron..

#EndSARS
#EndSARSMemorial",2,155
Joepraise13,"Hello everyone, my friend produced this jam as a tribute on our #Endsars, #Endsarsmemorial,.. Listen to it, and kee… https://t.co/eZQqldf2hr",2,502
pjmazzi,We still haven't forgotten 20:10:21 #EndSARSMemorial  #EndBadGovernanceinNIGERIA @SocialActionNg https://t.co/9gwN0ilvMZ,0,29
Mothers__child,"If this was a certain country with green n white in their flag, the government would just order the air-force to sp… https://t.co/muUfuOqzPt",4,1007
Dannyalaba,"Clement Adedotun, an uber driver, assaulted after being falsely accused of being a hoodlum. He fought long enough t… https://t.co/kJER4JMlJM",3,1935
illbromatic,That is the spirit....united we stand... #EndSARSmemorial https://t.co/EZvXrIoIJo,0,80
gerard_ezimmoha,@realFFK @Fakeffk suddenly appear after #EndSARSMemorial and Mazi Nnamdi KANU court trial.,0,10
Ogbeni_Moore,"AS I DEY LIKE THIS, MO NEED LIKE 500 BILLION MILLION UNCOUNTABLE DOLLARS!
#EndSARSMemorial #EndSARS #ElClasico #ChelseaFC #MUFC",2,2837
mm_whilz,#EndSARSMemorial this was when we where out in Abuja who knows this girl? https://t.co/zyaFGguLnq,0,1459
Prof_KennyJames,For @HumAngle_ I wrote on how the delayed compensation to victims of police brutalities is making them still suffer… https://t.co/ELtvmCswXO,10,391
Sobayo_AJQ,"@daily_trust Leave our #EndSARSMemorial movement for the South, its none of your business.
Face you banditry, kidna… https://t.co/eoABXMxdca",0,2614
stephieword,"People died at #LekkiTollGate but you keep denying with ""where are their bodies."" And you think you, your family an… https://t.co/F4iTKfSsAK",3,10105
thecableng,OPINION BY FESTUS ADEDAYO: Reincarnating Constable Ifeanyi at the Lekki tollgate | TheCable https://t.co/6Zr7hmVHY8… https://t.co/VywnrkCr3I,1,737306
I_Am_WEB,"Bike man wey fall me 
Today na soldier,
I never knew forgiveness could be this easy.
I just stand up Dey grumble to… https://t.co/alcaY1f8Pm",1,3
ihmcleancare,@ce0la @orunto_ @taiwodave3 @Govshina @DavidHundeyin @daily_trust @bulamabukarti @channelstv  video on  #EndSARS sh… https://t.co/qBxghfB91G,1,378
ihmcleancare,@doctoruwe @Govshina @DavidHundeyin @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/g3Y9A1L8Y3,1,378
ihmcleancare,@kabir_oladipupo @Govshina @DavidHundeyin @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/QBdbHe2Ds5,1,378
ihmcleancare,@nooraiinX @Govshina @Omh_space @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/18WZ4VlhYQ,1,378
ihmcleancare,@tibugzy @Govshina @DavidHundeyin @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/BflaGhBcE7,1,378
ihmcleancare,@SienceTalk @Govshina @DavidHundeyin @daily_trust @AbdulMahmud01 @CACCOT1 @HOBMakanju @MobilePunch @asufemi… https://t.co/9DZi5qsfDp,6,378
GravitasTipss,POW POW 💥💵💰💸🍀✅. TWENTY 20 ODDS played with my FREE betting picks for TODAY. We won Tuesday ✅Wednesday ✅Thursday ✅ F… https://t.co/NNyaNjZ4rP,2,630
ruleyourspace,"Watch this video.

#EndSARSProtest 
#EndSARSMemorial https://t.co/lf2Kaob7K8",1,709
Reporters_Large,Operatives of the Lagos State Police Command have arrested two protesters at the Lekki tollgate where the #EndSARS… https://t.co/xRIk6E40rt,4,1549
david_obibi,erious because we taken🚨 @lasgidibarber_shop to the next level 💪🏿💪🏿💪🏿💯@doubled_the_barber #lagos #barber #barbers… https://t.co/OemZ1gC8Qu,0,126
Ogbeni_Moore,"Person wey no get money, him prick no suppose dey stand!
#MUNLIV #EndSARSMemorial #ElClasico #Shattawale",0,2837
MGadzire,"@nickmangwana state sponsored thugs  who block roads ,abuse &amp; beat up citizens whilist the police look &amp; fold their… https://t.co/da6iPmOfom",1,1237
Kuits234,Justice #EndSARS #EndSWAT #KeepitOn #BBNaijaShineyoureyes #BBNaija @USinNigeria @UKinNigeria @CanHCNigeria @France… https://t.co/4Tl06Dtpzk,2,482
pstarlife,@falzthebahdguy Bop daddy thanks for supporting #EndSARSMemorial forever love and remember U ❤️,0,133
tripdarlyn,"@Africa_freedom_ @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria.… https://t.co/GlhFdV1SYV",1,109
tripdarlyn,"@Melvindinho @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria. Than… https://t.co/47IY8IVD2C",1,109
tripdarlyn,"@AdetolaOlutosin @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria.… https://t.co/eyPlVWGBRH",1,109
tripdarlyn,"@Oloye91 @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria. Thanks… https://t.co/gFSMAGYbjq",2,109
engeesa,#EndSARSMemorial: Uber Driver Assaulted By LNSC And Police Officers Demands N500 Million Compensation From Lagos St… https://t.co/ozL0Qtfymf,0,496
thegreatkhafid,#EndSARSMemorial: Uber Driver Assaulted By LNSC And Police Officers Demands N500 Million Compensation From Lagos St… https://t.co/57AI8GrbBF,1,16598
tripdarlyn,"@Naijadailyfeedx @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria.… https://t.co/SHVmr5p2Nx",1,109
That_KingDavid,"This is about the only Painting that could take down my over long time dp. 
The painting is Everything. 
We'll neve… https://t.co/VWwwBqSwei",3,950
tripdarlyn,@Osadeba_amen @DavidHundeyin @MBuhari @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A… https://t.co/tCMI3hQhBv,3,109
tripdarlyn,"@BashirIbraheem3 @DavidHundeyin @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A

 #Nigeria.… https://t.co/FshOHHe6MK",2,109
tripdarlyn,@TrafficChiefNG @OlusinaD @channelstv @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A… https://t.co/5tTTHaB1P9,1,109
tripdarlyn,@TrafficChiefNG @greatestskull1 @channelstv @BBCAfrica's piece: on #lekkitollgateshoooting https://t.co/Z8ifl5Hu5A… https://t.co/7w7cpQmfkJ,1,109
DrEffiongJohn,"This girl!!! She just nailed it!
#EndSARSMemorial https://t.co/cXa5yDer75",1,534
SibiAmanda,"The Attorney Gen of this country is a sad embarrassment to the Law profession 
Watching him talk about how Peaceful… https://t.co/2V4XYZEtUk",0,1735
TrafficChiefNG,[9:08PM] @tripdarlyn: @OlusinaD  @channelstv ?We want justice? ? Lekki shooting victims storm judicial panel | TheC… https://t.co/uN0brYo9Mk,2,243904
Rhythmic_icon,"BREAKING NEWS ‼️
Bandit just gained access into ZAMFARA NYSC CAMP. Call anyone you know that is there.… https://t.co/aGkipL3YjZ",0,80
engeesa,#EndSARSMemorial: LNSA Officers Who Assaulted Uber Driver Sanctioned [Photos] https://t.co/sGHp2k5Jt7,0,496
thegreatkhafid,#EndSARSMemorial: LNSA Officers Who Assaulted Uber Driver Sanctioned [Photos] https://t.co/s0TJprbd0r,0,16598
tripdarlyn,@OlusinaD @Gidi_Traffic @channelstv ‘We want justice’ — Lekki shooting victims storm judicial panel | TheCable… https://t.co/GHkXKajgYS,1,109
ABbanwo,"Please see do me a favour and block this handle @daily_trust
 
#EndSARSMemorial #EndSARS https://t.co/akoO1LN7nM",0,378
TrafficChiefNG,[8:53PM] @tripdarlyn: @mrojo88 @jchristianalex  @channelstv ?We want justice? ? Lekki shooting victims storm judici… https://t.co/AzuHbnTbOZ,2,243904
tripdarlyn,@mrojo88 @jchristianalex @Gidi_Traffic @channelstv ‘We want justice’ — Lekki shooting victims storm judicial panel… https://t.co/oIQ6ToKTFP,0,109
tripdarlyn,@Bashola_Balogun @LemonFroz @channelstv Brother of one of the victims of  20/10/2020 shootings of  #EndSARS protest… https://t.co/MVc19XXfne,0,109
tripdarlyn,@LemonFroz @Bashola_Balogun @channelstv Brother of one of the victims of  20/10/2020 shootings of  #EndSARS protest… https://t.co/eZ6DN0xOVV,0,109
Chxta,"When people like Lai Mohammed and @daily_trust push the lie that no one was killed in the #LekkiMassacre, please sh… https://t.co/VaPB6iAC2E",232,118909
IAMCharleson,It’s so depressing to think we are heading towards a 2023 election of octogenarians.  80s vs 80s Really?   Is this… https://t.co/eV9FDtKL3e,0,8869
CareersLandmark,"@TundeEddnut Are you looking for ways to gain admission and study in Universities aboard but don't know how ? 
we… https://t.co/E970CUlOqC",0,68
prosperlingua,"@SavvyRinu ""They took out the lights at the Toll gate but they couldn't off SWITCH!

""All the TV stations disappoin… https://t.co/5gOnBd1wPd",3,470
tripdarlyn,"@Maikeffi12 @bulamabukarti @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Ibraheem_Omar1 @bulamabukarti @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",3,109
Ada_di_ora_mma,"Who are these 1.8m people following this handle?

If you're following kindly unfollow for the sake of those who die… https://t.co/nffRyhfwVt",1,6218
ControlTVng,Uber Driver Assaulted By LNSC And Police During #EndSarsMemorial Demands N500m Compensation From Lagos State https://t.co/1R43tfKG2G,0,48956
ihmcleancare,@diamondAddict1 @YarKafanchan @channelstv Brother of one of the victims of  20/10/2020 shootings of  #EndSARS prote… https://t.co/N9WmmBGo39,0,378
ihmcleancare,@Keke01728263 @KelechiPhD @Ifeanyi__Chukwu @YarKafanchan @channelstv Brother of one of the victims of  20/10/2020 s… https://t.co/b4hFEOTFdB,0,378
tripdarlyn,@mrojo88 @jchristianalex @Gidi_Traffic @channelstv Brother of one of the victims of  20/10/2020 shootings of… https://t.co/hPBlVlqVm0,0,109
tripdarlyn,@Oluwafe21404245 @moha06 @Obongowoibesik1 @Success4to45 @Aimioshor_ @daily_trust @channelstv Brother of one of the… https://t.co/fLuFhRiqBy,0,109
tripdarlyn,@GERARD_OF_LAGOS @DoctorEesah @ihe69 @matrumery @Gidi_Traffic @channelstv Brother of one of the victims of  20/10/2… https://t.co/VcNtXhRbNm,0,109
tripdarlyn,@EfeEyefiaErhie @Lete_Fabani @jeffphilips1 @channelstv Brother of one of the victims of  20/10/2020 shootings of… https://t.co/wm51qOnIy8,0,109
Deonee15,Officers and men of @HQNigerianArmy wouldn't recognize respect if you print it in neon colours and largest of fonts… https://t.co/jJaxw0bWyZ,0,163
NaijaNewsWire,"VIDEO: So This Happened (131) reviews #EndSARSMemorial protests, Dr Dre being served divorce papers at grandma’s fu… https://t.co/xaOljYtTej",0,1191
Deonee15,@GazetteNGR Officers and men of @HQNigerianArmy wouldn't recognize respect if you print it in neon colours and larg… https://t.co/PfDbk1NqXy,0,163
NaijaNewsWire,"VIDEO: So This Happened (131) reviews #EndSARSMemorial protests, Dr Dre being served divorce papers at grandma’s fu… https://t.co/ZXcX0EzetX",0,1191
tripdarlyn,@moha06 @Obongowoibesik1 @Oluwafe21404245 @Success4to45 @Aimioshor_ @daily_trust @channelstv Listen to a chilling e… https://t.co/OqiOqwEiBs,0,109
tripdarlyn,"@ogaten10 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Lord_Akpos @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Fecomnet @Obongowoibesik1 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Polymat43955419 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Tvezbaba_15 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,@DreamVilleIX @daily_trust @bulamabukarti @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/OPDdzRJLLx,0,109
tripdarlyn,"@TemiHNIC @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Princeola82 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@drunkito @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@OluAdewale2 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,@damola_ade77 @Tbase32272766 @oluwoleMd @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/5AlQNREmXy,0,109
tripdarlyn,@Chijiok64768316 @daily_trust @B_ELRUFAI @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/DZ3axlmwj8,0,109
tripdarlyn,"@Tjworldwide007 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",2,109
tripdarlyn,"@cathyne01 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Swiss89779194 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Afam_bu_Ekene @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Kaluski_7 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,@Modibbo13167504 @DasFreidenker @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/cZLTgrI0uC,0,109
tripdarlyn,"@hiskenny09 @daily_trust @pikaso_me @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Obidarling100 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@desco042 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@InglesEli @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,@Sege4ever2u @horlharpeace @damola_ade77 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/p8AeFxIBWp,0,109
tripdarlyn,"@Richdrey1 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@GEELA__ @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,"@Success4to45 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
Dis_Naija,"VIDEO: So This Happened (131) reviews #EndSARSMemorial protests, Dr Dre being served divorce papers at grandma’s fu… https://t.co/b9SrUMRujN",0,12887
tripdarlyn,"@muchman16 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",0,109
tripdarlyn,@ManicOfficial2 @bravefacefunkie @daily_trust @AishaYesufu @channelstv  video on  #EndSARS shooting at lekki tollga… https://t.co/nOPyjESiCb,0,109
tripdarlyn,"@Sege4ever2u @IEginic @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",2,109
tripdarlyn,"@archangel_jean @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@ONikhua @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@C_CDon @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@SurvivedaPeace @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@ThisIsMansherry @ezerium1 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
HarbeyMontana,Na person wey go borrow me 50m die next day i dey find like dis.          #FreeShattaWale #Fireboy #tiwasavage… https://t.co/iaPTCQHkz1,1,215
tripdarlyn,"@Spicynelig @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@guess_waht @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",8,109
kessmusictv,"VIDEO: So This Happened (131) reviews #EndSARSMemorial protests, Dr Dre being served divorce papers at grandma’s fu… https://t.co/I9WuQRGM93",0,2366
tripdarlyn,"@UdokaKristian @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,@Ifeabunike @Truthuncoded @daily_trust @bravefacefunkie @SavvyRinu @fisayosoyombo @channelstv  video on  #EndSARS s… https://t.co/TfCETRIWI2,1,109
tripdarlyn,@plutooo0000 @ugxmxz @mobelloo @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/opDHTAbnRm,1,109
tripdarlyn,"@shegzadd @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@Princeola82 @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,@Obongowoibesik1 @Oluwafe21404245 @Success4to45 @moha06 @Aimioshor_ @daily_trust @channelstv  video on  #EndSARS sh… https://t.co/nhEb5cqDDP,1,109
tripdarlyn,"@hewamike @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,@Sege4ever2u @tijanjaOfficial @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/dHTEaopFOt,2,109
tripdarlyn,"@josephanyaa @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,"@YinkaPost @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",2,109
tripdarlyn,@Obongowoibesik1 @OgunSamwel @naijadawg @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/ie3kTjgNbZ,3,109
tripdarlyn,"@ugxmxz @trolls_queen @daily_trust @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/6tcjjIt8hC",1,109
tripdarlyn,@LemonFroz @Bashola_Balogun @channelstv Listen to a chilling eyewitness account from the #Lekki Toll Gate shooting… https://t.co/27DaZgXH2v,1,109
ihmcleancare,@diamondAddict1 @YarKafanchan @channelstv a chilling eyewitness account from the #Lekki Toll Gate shooting in… https://t.co/ZDBVwKQnLK,1,378
airwaterlandsun,"IMO, life defines itself as that only thing that learns everyday while breathing but teaches another life by not br… https://t.co/1csSB9iuUu",1,8
ihmcleancare,"@chukaobi @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/jVzVFHtEmd",2,378
Stephameh,"Consistency is the surest way to succeed. Keep doing what you do, keep showing up and you'll celebrate the work, ti… https://t.co/qzFcIJ1BKm",14,479
ihmcleancare,"@diamondAddict1 @YarKafanchan @channelstv  video on  #EndSARS shooting at lekki tollgate
#EndSARSMemorial
 https://t.co/jVzVFHtEmd",1,378
ihmcleancare,@Ifeanyi__Chukwu @YarKafanchan @KelechiPhD @channelstv  video on  #EndSARS shooting at lekki tollgate… https://t.co/R8rycesm3C,3,378
