user,text,retweet_count,followers_count
MojirayoDR,"keeping its youths from participating in an ever changing world. 

The world won't wait for us. We are 3rd world to… https://t.co/HW6RJEOWIy",0,337
MojirayoDR,So this is how it has started. Social Media platforms changing the world. It's Meta today. More will definitely com… https://t.co/mx0npzFvSU,0,337
OpinionNigeria,#EndSarsMemorial: A Righteous Indignation -By Festus Ogun https://t.co/a5CeKu1qxX,1,4342
obaf1,"@SaharaReporters @PoliceNG …when it’s unarmed civilians, @PoliceNG will be the first to get there and harass people… https://t.co/d68dEGcdQX",2,656
PatAdamu,This is the thread #EndSARSMemorial #EndSarsHoodlums #Endsars https://t.co/1uT9m7Gsak,2,124
olorunwababs,"Today at 4pm, we'll talk about the media coverage of #EndSARS in Nigeria. If you haven't, register here now… https://t.co/B8jZkddZ0Q",2,4364
Maxziken,@being_Ngodoo @MeccaUS A superintendent of police with four children said his salary is N60k. I told him that he is… https://t.co/XGKsFhdd0z,1,228
NeoThrillz02,"@MasegoMolosha ....with hard d**k poking you in front😋😋

So sweet😂😂
#IFB #TheNextMissNigeria #EndSARSMemorial",0,64
GThoughtmen,@GazetteNGR Like you were civil at #EndSARSMemorial my people we igbos ooo dey will not know how a child is when they start.,1,38
Donkelvinsque,"And the God who gives us peace will be with you.
Philippians 4:9 GNBUK
https://t.co/kAP1iFtOJc
#EndSARSMemorial… https://t.co/VVhsT7eT86",0,863
Donkelvinsque,"October 29, 2021
Verse of the Day
Put into practice what you learnt and received from me, both from my words and fr… https://t.co/t5VJDakUpF",0,863
OMOBABAFOGA,Am I quote ““ Would the British or American press regurgitate a report in the Nigerian press denigrating their mili… https://t.co/Fz8gPUeczy,0,557
Oluwashindara_i,"HND is equivalent to BSC only if you doing a govt job, it doesn't work for private company or Banks o, don't be unf… https://t.co/TmeVWRvZRe",0,490
Obule12,"This always break my heart anytime I remember the story of Ifeoma Abugwu,we should remember it could happen to you… https://t.co/XLqUBnCbkp",3,773
ChimaSteven2,No election= Ohanaeze should respect themselves and do the needful if Mazi Nnamdi Kanu was never extra ordinary ren… https://t.co/z85A8hRBfl,1,105
ChimaSteven2,"We said we are not voting, you people should take Nigeria her riches and glorious tomorrow. All we want is #Freedom… https://t.co/WbmmGhxYGV",3,105
obarodave,Just watching the trial of the chicago 7 movie and all I can say is we haven’t even scratched the surface in search… https://t.co/kJbWbFH7cn,0,881
NwaAke,"That #eNaira App has been kindnapped by #UnkownGunMen, we urged the #Buhari Government to #BanGoogle #PlayStore… https://t.co/UWrC2rmxV0",3,168
FELASTORY,Nigerian #Police #SWAT #SARS team member doing what exactly? #EndSARSmemorial @Gidi_Traffic @PoliceNG https://t.co/CuI9hJTBPP,2,568
odionmatics,"So we surprised Adefemi Adesanya of @ARISEtv for her courageous coverage of #EndSARSMemorial and anniversary. 

Her… https://t.co/fK73BEVSbI",496,2643
WahidSaka,"#EndSARSMemorial
#Osogbo

Nothing changed, but we can't stop engaging the system.

https://t.co/fk8JHBSyc4",1,14225
RoyaltyKingpin,I would love if @timayatimaya will do a #DemMama kind of song in memory of #EndSARS #LekkiMassacre 20th October 202… https://t.co/HaIMP2QMhP,1,1400
AishaYesufu,"There is no election in Nigeria. What we have is endorsement of the selection by parties. 
Until the citizens truly… https://t.co/o5n1RKibD8",205,906509
ModionComms,"So we surprised our heroine @femmefemi for her brave reportage of #ENDSARSMemorial and here's how she reacted.

We… https://t.co/LV1KYfj3J0",4,730
CDDFactCheck,Does the law require @PoliceNG to wait for an official complaint before starting an investigation as claimed by… https://t.co/oqe0EOeR27,2,19
iamogueri,"Mr @MBuhari . As the Cambridge university returns the #artefacts to Nigeria (Benin). Now, where is the African Unio… https://t.co/A2hwM58CYo",0,12
EromoseleTony1,"Never forget the CHANGE begins with you.

#eromsonline #sdg #notopovery #endpoverty #endsarsmemorial… https://t.co/TqkpplXw8H",1,153
